scenario,file_size_mb,throughput_mean_mbps,ci_low,ci_high
A,1,5.591577942935043,5.551546299940557,5.631609585929529
A,2,5.707828047750288,5.675367749142125,5.740288346358452
A,3,5.735002069644332,5.712680403073914,5.75732373621475
A,5,5.769715170436516,5.75282550529482,5.7866048355782125
A,7,5.7799224696934735,5.766403398729464,5.793441540657483
A,10,5.78292666977447,5.77360998501706,5.79224335453188
B,1,0.031204059885623425,0.02946744504226971,0.03294067472897714
B,2,0.03230145947201439,0.031198968053033713,0.03340395089099507
B,3,0.03252436653816419,0.03145390283420157,0.03359483024212682
B,5,0.03252502295972377,0.03135502592107553,0.03369501999837202
B,7,0.032812871284323156,0.03203261393216627,0.03359312863648004
B,10,0.03283048091374868,0.03199201052060278,0.03366895130689459
C,1,0.013656283963919422,0.013012102086026113,0.01430046584181273
C,2,0.013658808260696004,0.013170160383063335,0.014147456138328674
C,3,0.013666864692497494,0.013244663728670409,0.01408906565632458
C,5,0.013702358730805737,0.013488420092313649,0.013916297369297824
C,7,0.013726181734583343,0.013538968000347014,0.01391339546881967
C,10,0.013809489651383233,0.01361840020504482,0.014000579097721646
