scenario,jitter_std_ms,throughput_mean_mbps,throughput_cv,ci_low,ci_high
A,0,5.605006929057384,0.008762357106994878,5.577809016168335,5.632204841946433
A,5,4.27867363867484,0.01825377395061325,4.235422225162255,4.321925052187424
A,10,3.10308883192804,0.01961732129490483,3.069377773425409,3.136799890430671
A,20,2.0116282775654843,0.026694515423911002,1.9818905177477826,2.0413660373831863
A,40,1.12150377984118,0.06414977950040267,1.081662398680072,1.161345161002288
B,0,0.03253013450716683,0.10161985416845387,0.030699494698176722,0.03436077431615694
B,5,0.03291897268277136,0.10753906900699331,0.030958544118229143,0.03487940124731358
B,10,0.033391915293881774,0.11207049908710817,0.031319527088354816,0.03546430349940873
B,20,0.03291781848376858,0.07374278097663424,0.031573540661832836,0.03426209630570433
B,40,0.02989682998533508,0.1105726523967369,0.028066154587555202,0.03172750538311496
C,0,0.014138238062804155,0.06445668303169344,0.013633574767924312,0.014642901357683999
C,5,0.013377717828564504,0.03743453745497038,0.01310039030184573,0.013655045355283278
C,10,0.013377727139078496,0.05890420939660432,0.01294134482517487,0.013814109452982122
C,20,0.01335371646635328,0.07764366138014733,0.012779538353455107,0.013927894579251454
C,40,0.013077450095625553,0.07038127421252473,0.01256774535537561,0.013587154835875496
