run,elapsed_s,throughput_mbps,retransmissions
1,834.4304368030353,0.010053094458226365,5563
2,751.8117789772136,0.011157856573372798,5011
3,787.3571242419699,0.010654133609416635,5279
4,880.2135519958184,0.009530196372209287,5876
5,904.8729871822941,0.009270481182250217,6076
6,751.3539894564376,0.011164654899974228,4998
7,784.4186238438971,0.010694044920674106,5208
8,812.2991202134688,0.010326993826849781,5227
9,864.4480800378084,0.009704004432091639,5765
10,810.3342981689833,0.010352033745769797,5169
11,854.8804220632954,0.00981260979138309,5439
12,773.7777613353962,0.010841107639902736,5109
13,871.6447849054246,0.009623883656815754,5588
14,841.3430758480398,0.009970496270554817,5517
15,848.5954195492288,0.009885285504435083,5450
16,782.7759214025855,0.010716487018365627,5200
17,899.7698859466913,0.009323059296626648,5992
18,756.9752743397022,0.011081746371857723,5040
19,728.9747158759129,0.011507405973498702,4844
20,841.1521615381847,0.009972759250431045,5553
21,888.0438086209846,0.009446164613237275,5717
22,831.2063334999228,0.010092088645040118,5311
23,862.0972076038693,0.009730466501933663,5726
24,812.7604145687175,0.010321132586718466,5411
25,811.8695976206187,0.010332457360867874,5467
26,772.1859339904005,0.01086345610654996,5124
27,828.9542323170524,0.010119506811072758,5516
28,880.9055733002265,0.009522709645907792,5907
29,936.0367172606385,0.008961836480677499,6317
30,858.0756739923539,0.009776070169860972,5744
